
*******************************************************************
==>> Run on: 2020-11-20 23:26:14
==>> Seed was set to: 1
==>> Dataset used: CIFAR10
==>> Batch size: 128
==>> Total training batches: 391
==>> Total validation batches: 0
==>> Total testing batches: 79
customizable_VGG(
  (features): Sequential(
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU(inplace=True)
    (2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): ReLU(inplace=True)
    (5): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (6): Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): ReLU(inplace=True)
    (8): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (9): ReLU(inplace=True)
    (10): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (11): Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (12): ReLU(inplace=True)
    (13): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (14): ReLU(inplace=True)
    (15): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (16): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (17): ReLU(inplace=True)
    (18): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (19): ReLU(inplace=True)
    (20): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (classifier): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=512, out_features=512, bias=True)
    (4): ReLU(inplace=True)
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=512, out_features=10, bias=True)
  )
)
==>> Loaded model from checkpoint: ./results/checkpoint_clean_model.pth
Total 9217728 prunable parameters!
Prunable layer-wise: [1728, 73728, 294912, 589824, 1179648, 2359296, 2359296, 2359296]

Starting layer sensitivity analysis...

Pruning prunable layer with index 0:
==>>> Prunable layer 0 | pruned [0.06]  | val loss: 0.444180, val acc: 0.9083
==>>> Prunable layer 0 | pruned [5.03]  | val loss: 0.444746, val acc: 0.9082
==>>> Prunable layer 0 | pruned [10.01]  | val loss: 0.446447, val acc: 0.9072
==>>> Prunable layer 0 | pruned [15.05]  | val loss: 0.447157, val acc: 0.9072
==>>> Prunable layer 0 | pruned [20.02]  | val loss: 0.445797, val acc: 0.9080
==>>> Prunable layer 0 | pruned [25.00]  | val loss: 0.446710, val acc: 0.9070
==>>> Prunable layer 0 | pruned [30.03]  | val loss: 0.450741, val acc: 0.9054
==>>> Prunable layer 0 | pruned [35.01]  | val loss: 0.460555, val acc: 0.9047
==>>> Prunable layer 0 | pruned [39.99]  | val loss: 0.468244, val acc: 0.9029
==>>> Prunable layer 0 | pruned [45.02]  | val loss: 0.485620, val acc: 0.9017
==>>> Prunable layer 0 | pruned [50.00]  | val loss: 0.511750, val acc: 0.8952
==>>> Prunable layer 0 | pruned [54.98]  | val loss: 0.583484, val acc: 0.8801
==>>> Prunable layer 0 | pruned [60.01]  | val loss: 0.699340, val acc: 0.8607
==>>> Prunable layer 0 | pruned [64.99]  | val loss: 0.876998, val acc: 0.8263
==>>> Prunable layer 0 | pruned [69.97]  | val loss: 1.271736, val acc: 0.7566
==>>> Prunable layer 0 | pruned [75.00]  | val loss: 2.051723, val acc: 0.6309
==>>> Prunable layer 0 | pruned [79.98]  | val loss: 3.020015, val acc: 0.4883
==>>> Prunable layer 0 | pruned [84.95]  | val loss: 3.812933, val acc: 0.3244
==>>> Prunable layer 0 | pruned [89.99]  | val loss: 4.825665, val acc: 0.2243
==>>> Prunable layer 0 | pruned [94.97]  | val loss: 6.468873, val acc: 0.1725
==>>> Prunable layer 0 | pruned [100.00]  | val loss: 3.144726, val acc: 0.1000

Pruning prunable layer with index 1:
==>>> Prunable layer 1 | pruned [0.00]  | val loss: 0.444181, val acc: 0.9083
==>>> Prunable layer 1 | pruned [5.00]  | val loss: 0.444181, val acc: 0.9083
==>>> Prunable layer 1 | pruned [10.00]  | val loss: 0.444181, val acc: 0.9083
==>>> Prunable layer 1 | pruned [15.00]  | val loss: 0.444178, val acc: 0.9083
==>>> Prunable layer 1 | pruned [20.00]  | val loss: 0.444190, val acc: 0.9084
==>>> Prunable layer 1 | pruned [25.00]  | val loss: 0.444337, val acc: 0.9084
